Function Name,Role
,
Main Function,
CallAllocation,main function of the first level algo
CallSecondAllocation,main function of the second level algo
,
Procedure Function,First Level
AllocationAlgo,call different version of algo(optimizer)
PreAllocation,allocate margin statement one at a time as a initial guess of optimal solution
CoreAlgoV*,optimization modelling and call the optimization solver
CoreAlgoV1,operations as an objective
CoreAlgoV2,operations as an constraint
CallLpSolve,call the lpSolve solver to solve the optimization problem
,
Procedure Function,Second Level
SecondAllocationV2,main entrance of version 2 optimizer using advanced model
SecondAllocationBasicV2,main entrance of version 2 optimizer using basic model(not using)
SecondAllocationOneCallBasicV2,substitute from one margin call only basic model version 2(not using)
SecondAllocationAlgoV1,substitute from one margin call only version 1(not updated)
,
,
General Functions,Commonly used UDFs for Algo
OrderCallId,sort the margin call ids in a specific order method
GroupCallIdByMs,split the margin statements into groups for the algo performance
AllocationInputData,convert the related information for Algo into standard format
ResultList2Mat,convert allocation result list to matrix
ResultMat2List,convert result matrix to allocation result list
ResultList2Vec,convert allocation result list to decision variable vector
ResultList2AmountVec,convert allocation result list to amount of resources vector
ResultVec2Mat,convert vector to matrix
VarInfo,construct the decision variables names. 
CostFun,compute allocation cost
LiquidFun,compute allocation reserved liquidity ration
OperationFun,compute allocation total movements
PasteFun1,paste two items with underscore
PasteFun2,paste inside an item with underscore
PasteResource,paste the asset id and custodian accout into resource id
PasteVarName,"paste ms id, call id, resource id into variable name"
SplitResource,split the resource into asset id and/or custodian account
SplitVarName,split the variable name into ms id and/or call id and/or resource id
renjinFix,fix the dataframe format for java framework
UpdateQtyInAvailAsset,Update the quantity in availAsset_df by used or left quantity input
GetQtyFromAvailAsset,Get the quantity from availAsset_df by used or left quantity fromput
CheckQtyInAvailAsset,Check the quantity in availAsset_df by used or left quantity input
UsedQtyFromResultList,Used the quantity from availAsset_df
AdjustResultVec,Adjust the solution(rounding)
CheckResultVec,Check whether the solution meets all the requirements
ConstructModelObj,Construct the objectives of the model
DeriveOptimalAssetsV2,Determine the optimal asset based on the objective parameters optimizer version 2
DeriveOptimalAssetsV1,Determine the optimal asset based on the objective parameters optimizer version 1
ResultList2Df,Convert result list to data frame format
