"","lp.bounds.upper"
"1",1e+08
"2",1e+08
"3",1e+08
"4",1e+08
"5",1e+08
"6",1e+08
"7",1e+08
"8",1e+08
"9",1e+08
"10",1e+08
"11",1e+08
"12",1e+08
"13",1e+08
"14",1e+08
"15",1e+08
"16",1e+08
"17",1e+08
"18",1e+08
"19",1e+08
"20",1e+08
"21",1e+08
"22",1e+08
"23",1e+08
"24",1e+08
"25",1e+08
"26",1e+08
"27",1e+08
"28",1e+08
"29",1e+08
"30",1e+08
"31",1e+08
"32",1e+08
"33",1e+08
"34",1e+08
"35",1e+08
"36",1e+08
"37",1e+08
"38",1e+08
"39",1e+08
"40",1e+08
"41",1e+08
"42",1e+08
"43",1e+08
"44",1e+08
"45",1e+08
"46",1e+08
"47",1e+08
"48",1e+08
"49",1e+08
"50",1e+08
"51",1e+08
"52",1e+08
"53",1e+08
"54",1e+08
"55",1e+08
"56",1e+08
"57",1e+08
"58",1e+08
"59",1e+08
"60",1e+08
"61",100
"62",100
"63",100
"64",100
"65",100
"66",100
"67",1e+08
"68",1e+08
"69",1e+08
"70",1e+08
"71",1e+08
"72",1e+08
"73",1e+08
"74",1e+08
"75",100
"76",100
"77",100
"78",100
"79",100
"80",100
"81",100
"82",100
"83",100
"84",100
"85",100
"86",100
"87",2
"88",2
"89",2
"90",2
"91",2
"92",2
"93",100
"94",100
"95",100
"96",100
"97",100
"98",100
"99",100
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",1
"151",1
"152",1
"153",1
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",1
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",1
"181",1
"182",1
"183",1
"184",1
"185",1
"186",1
"187",1
"188",1
"189",1
"190",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",1
"197",1
"198",1
