"","lp.branch.mode"
"1","floor"
"2","floor"
"3","floor"
"4","floor"
"5","floor"
"6","floor"
"7","floor"
"8","floor"
"9","floor"
"10","floor"
"11","floor"
"12","floor"
"13","floor"
"14","floor"
"15","floor"
"16","floor"
"17","floor"
"18","floor"
"19","floor"
"20","floor"
"21","floor"
"22","floor"
"23","floor"
"24","floor"
"25","floor"
"26","floor"
"27","floor"
"28","floor"
"29","floor"
"30","floor"
"31","floor"
"32","floor"
"33","floor"
"34","floor"
"35","floor"
"36","floor"
"37","floor"
"38","floor"
"39","floor"
"40","floor"
"41","floor"
"42","floor"
"43","floor"
"44","floor"
"45","floor"
"46","floor"
"47","floor"
"48","floor"
"49","floor"
"50","floor"
"51","floor"
"52","floor"
"53","floor"
"54","floor"
"55","floor"
"56","floor"
"57","floor"
"58","floor"
"59","floor"
"60","floor"
"61","floor"
"62","floor"
"63","floor"
"64","floor"
"65","floor"
"66","floor"
"67","floor"
"68","floor"
"69","floor"
"70","floor"
"71","floor"
"72","floor"
"73","floor"
"74","floor"
"75","floor"
"76","floor"
"77","floor"
"78","floor"
"79","floor"
"80","floor"
"81","floor"
"82","floor"
"83","floor"
"84","floor"
"85","floor"
"86","floor"
"87","floor"
"88","floor"
"89","floor"
"90","floor"
"91","floor"
"92","floor"
"93","floor"
"94","floor"
"95","floor"
"96","floor"
"97","floor"
"98","floor"
"99","floor"
"100","auto"
"101","auto"
"102","auto"
"103","auto"
"104","auto"
"105","auto"
"106","auto"
"107","auto"
"108","auto"
"109","auto"
"110","auto"
"111","auto"
"112","auto"
"113","auto"
"114","auto"
"115","auto"
"116","auto"
"117","auto"
"118","auto"
"119","auto"
"120","auto"
"121","auto"
"122","auto"
"123","auto"
"124","auto"
"125","auto"
"126","auto"
"127","auto"
"128","auto"
"129","auto"
"130","auto"
"131","auto"
"132","auto"
"133","auto"
"134","auto"
"135","auto"
"136","auto"
"137","auto"
"138","auto"
"139","auto"
"140","auto"
"141","auto"
"142","auto"
"143","auto"
"144","auto"
"145","auto"
"146","auto"
"147","auto"
"148","auto"
"149","auto"
"150","auto"
"151","auto"
"152","auto"
"153","auto"
"154","auto"
"155","auto"
"156","auto"
"157","auto"
"158","auto"
"159","auto"
"160","auto"
"161","auto"
"162","auto"
"163","auto"
"164","auto"
"165","auto"
"166","auto"
"167","auto"
"168","auto"
"169","auto"
"170","auto"
"171","auto"
"172","auto"
"173","auto"
"174","auto"
"175","auto"
"176","auto"
"177","auto"
"178","auto"
"179","auto"
"180","auto"
"181","auto"
"182","auto"
"183","auto"
"184","auto"
"185","auto"
"186","auto"
"187","auto"
"188","auto"
"189","auto"
"190","auto"
"191","auto"
"192","auto"
"193","auto"
"194","auto"
"195","auto"
"196","auto"
"197","auto"
"198","auto"
