"","lp.kind"
"1","semi-continuous"
"2","semi-continuous"
"3","semi-continuous"
"4","semi-continuous"
"5","semi-continuous"
"6","semi-continuous"
"7","semi-continuous"
"8","semi-continuous"
"9","semi-continuous"
"10","semi-continuous"
"11","semi-continuous"
"12","semi-continuous"
"13","semi-continuous"
"14","semi-continuous"
"15","semi-continuous"
"16","semi-continuous"
"17","semi-continuous"
"18","semi-continuous"
"19","semi-continuous"
"20","semi-continuous"
"21","semi-continuous"
"22","semi-continuous"
"23","semi-continuous"
"24","semi-continuous"
"25","semi-continuous"
"26","semi-continuous"
"27","semi-continuous"
"28","semi-continuous"
"29","semi-continuous"
"30","semi-continuous"
"31","semi-continuous"
"32","semi-continuous"
"33","semi-continuous"
"34","semi-continuous"
"35","semi-continuous"
"36","semi-continuous"
"37","semi-continuous"
"38","semi-continuous"
"39","semi-continuous"
"40","semi-continuous"
"41","semi-continuous"
"42","semi-continuous"
"43","semi-continuous"
"44","semi-continuous"
"45","semi-continuous"
"46","semi-continuous"
"47","semi-continuous"
"48","semi-continuous"
"49","semi-continuous"
"50","semi-continuous"
"51","semi-continuous"
"52","semi-continuous"
"53","semi-continuous"
"54","semi-continuous"
"55","semi-continuous"
"56","semi-continuous"
"57","semi-continuous"
"58","semi-continuous"
"59","semi-continuous"
"60","semi-continuous"
"61","semi-continuous"
"62","semi-continuous"
"63","semi-continuous"
"64","semi-continuous"
"65","semi-continuous"
"66","semi-continuous"
"67","semi-continuous"
"68","semi-continuous"
"69","semi-continuous"
"70","semi-continuous"
"71","semi-continuous"
"72","semi-continuous"
"73","semi-continuous"
"74","semi-continuous"
"75","semi-continuous"
"76","semi-continuous"
"77","semi-continuous"
"78","semi-continuous"
"79","semi-continuous"
"80","semi-continuous"
"81","semi-continuous"
"82","semi-continuous"
"83","semi-continuous"
"84","semi-continuous"
"85","semi-continuous"
"86","semi-continuous"
"87","semi-continuous"
"88","semi-continuous"
"89","semi-continuous"
"90","semi-continuous"
"91","semi-continuous"
"92","semi-continuous"
"93","semi-continuous"
"94","semi-continuous"
"95","semi-continuous"
"96","semi-continuous"
"97","semi-continuous"
"98","semi-continuous"
"99","semi-continuous"
"100","semi-continuous"
"101","semi-continuous"
"102","semi-continuous"
"103","semi-continuous"
"104","semi-continuous"
"105","semi-continuous"
"106","semi-continuous"
"107","semi-continuous"
"108","semi-continuous"
"109","semi-continuous"
"110","semi-continuous"
"111","semi-continuous"
"112","semi-continuous"
"113","semi-continuous"
"114","semi-continuous"
"115","semi-continuous"
"116","semi-continuous"
"117","semi-continuous"
"118","semi-continuous"
"119","semi-continuous"
"120","semi-continuous"
"121","semi-continuous"
"122","semi-continuous"
"123","semi-continuous"
"124","semi-continuous"
"125","semi-continuous"
"126","semi-continuous"
"127","semi-continuous"
"128","semi-continuous"
"129","semi-continuous"
"130","semi-continuous"
"131","semi-continuous"
"132","semi-continuous"
"133","semi-continuous"
"134","semi-continuous"
"135","semi-continuous"
"136","semi-continuous"
"137","semi-continuous"
"138","semi-continuous"
"139","semi-continuous"
"140","semi-continuous"
"141","semi-continuous"
"142","semi-continuous"
"143","semi-continuous"
"144","semi-continuous"
"145","semi-continuous"
"146","semi-continuous"
"147","semi-continuous"
"148","semi-continuous"
"149","semi-continuous"
"150","semi-continuous"
"151","semi-continuous"
"152","semi-continuous"
"153","semi-continuous"
"154","semi-continuous"
"155","semi-continuous"
"156","semi-continuous"
"157","semi-continuous"
"158","semi-continuous"
"159","semi-continuous"
"160","semi-continuous"
"161","semi-continuous"
"162","semi-continuous"
"163","semi-continuous"
"164","semi-continuous"
"165","semi-continuous"
"166","semi-continuous"
"167","semi-continuous"
"168","semi-continuous"
"169","semi-continuous"
"170","semi-continuous"
"171","semi-continuous"
"172","semi-continuous"
"173","semi-continuous"
"174","semi-continuous"
"175","semi-continuous"
"176","semi-continuous"
"177","semi-continuous"
"178","semi-continuous"
"179","semi-continuous"
"180","semi-continuous"
"181","semi-continuous"
"182","semi-continuous"
"183","semi-continuous"
"184","semi-continuous"
"185","semi-continuous"
"186","semi-continuous"
"187","semi-continuous"
"188","semi-continuous"
"189","semi-continuous"
"190","semi-continuous"
"191","semi-continuous"
"192","semi-continuous"
"193","semi-continuous"
"194","semi-continuous"
"195","semi-continuous"
"196","semi-continuous"
"197","semi-continuous"
"198","semi-continuous"
