clientId,id,idType,externalCost,agreementId
999,US912796JE09,ISIN,0.004,a1
999,DE0001137461,ISIN,0.002,a1
999,DE0001104636,ISIN,0.002,a1
999,DE0001141737,ISIN,0.002,a1
999,DE0001141604,ISIN,0.002,a1
999,JP1023621G33,ISIN,0.003,a1
999,JP1051041C55,ISIN,0.003,a1
999,JP1051161DC4,ISIN,0.003,a1
999,JP1051271G37,ISIN,0.003,a1
999,JP1103121AC2,ISIN,0.003,a1
999,SG6TI7000001,ISIN,0.002,a1
999,SG7U33949433,ISIN,0.002,a1
999,SG7S29941612,ISIN,0.002,a1
999,SG7Y76964295,ISIN,0.002,a1
999,SG3260987684,ISIN,0.002,a1
999,AU2CLT260861,ISIN,0.002,a1
999,XS1045278410,ISIN,0.002,a1
999,XS1378790262,ISIN,0.002,a1
999,XS1122061242,ISIN,0.002,a1
999,GB00B1VWPC84,ISIN,0.002,a1
999,GB00B4YRFP41,ISIN,0.002,a1
999,FR0012634558,ISIN,0.002,a1
999,FR0013101466,ISIN,0.002,a1
999,FR0120746609,ISIN,0.002,a1
999,FR0000570905,ISIN,0.002,a1
999,FR0000570947,ISIN,0.002,a1
999,US50064FAJ30,ISIN,0.002,a1
999,XS0277265269,ISIN,0.002,a1
999,US38141G1040,ISIN,0.001,a1
999,US46625H1005,ISIN,0.001,a1
999,US3696041033,ISIN,0.001,a1
999,US30231G1022,ISIN,0.001,a1
999,US4592001014,ISIN,0.005,a1
999,US5801351017,ISIN,0.005,a1
999,US1912161007,ISIN,0.005,a1
999,US0970231058,ISIN,0.005,a1
999,US88579Y1010,ISIN,0.001,a1
999,US7427181091,ISIN,0.001,a1
999,SGD,CASH,0.006,a1
999,JPY,CASH,0.006,a1
999,USD,CASH,0.01,a1
999,GBP,CASH,0.006,a1
999,EUR,CASH,0.004,a1
999,CNY,CASH,0.006,a1
999,AUD,CASH,0.018,a1
999,HKD,CASH,0.01,a1
999,CAD,CASH,0.01,a1
,,,,
999,US912796JE09,ISIN,0.004,a2
999,DE0001137461,ISIN,0.003,a2
999,DE0001104636,ISIN,0.006,a2
999,DE0001141737,ISIN,0.005,a2
999,DE0001141604,ISIN,0.002,a2
999,JP1023621G33,ISIN,0.003,a2
999,JP1051041C55,ISIN,0.003,a2
999,JP1051161DC4,ISIN,0.003,a2
999,JP1051271G37,ISIN,0.004,a2
999,JP1103121AC2,ISIN,0.003,a2
999,SG6TI7000001,ISIN,0.006,a2
999,SG7U33949433,ISIN,0.005,a2
999,SG7S29941612,ISIN,0.002,a2
999,SG7Y76964295,ISIN,0.002,a2
999,SG3260987684,ISIN,0.002,a2
999,AU2CLT260861,ISIN,0.002,a2
999,XS1045278410,ISIN,0.002,a2
999,XS1378790262,ISIN,0.002,a2
999,XS1122061242,ISIN,0.002,a2
999,GB00B1VWPC84,ISIN,0.002,a2
999,GB00B4YRFP41,ISIN,0.002,a2
999,FR0012634558,ISIN,0.002,a2
999,FR0013101466,ISIN,0.002,a2
999,FR0120746609,ISIN,0.002,a2
999,FR0000570905,ISIN,0.002,a2
999,FR0000570947,ISIN,0.002,a2
999,US50064FAJ30,ISIN,0.002,a2
999,XS0277265269,ISIN,0.002,a2
999,US38141G1040,ISIN,0.001,a2
999,US46625H1005,ISIN,0.004,a2
999,US3696041033,ISIN,0.003,a2
999,US30231G1022,ISIN,0.006,a2
999,US4592001014,ISIN,0.005,a2
999,US5801351017,ISIN,0.005,a2
999,US1912161007,ISIN,0.005,a2
999,US0970231058,ISIN,0.005,a2
999,US88579Y1010,ISIN,0.001,a2
999,US7427181091,ISIN,0.001,a2
999,SGD,CASH,0.006,a2
999,JPY,CASH,0.006,a2
999,USD,CASH,0.01,a2
999,GBP,CASH,0.006,a2
999,EUR,CASH,0.004,a2
999,CNY,CASH,0.003,a2
999,AUD,CASH,0.006,a2
999,HKD,CASH,0.005,a2
999,CAD,CASH,0.01,a2
,,,,
999,US912796JE09,ISIN,0.004,a3
999,DE0001137461,ISIN,0.002,a3
999,DE0001104636,ISIN,0.002,a3
