accountId,assetId,quantities,availableQuantities
CustodianAccount1A,US912796HW25,20000,20000
CustodianAccount1A,US912796JE09,20000,20000
CustodianAccount1A,DE0001137461,200000000,200000000
CustodianAccount1A,DE0001104636,200000000,200000000
CustodianAccount1A,DE0001141737,200000000,200000000
CustodianAccount1A,DE0001141604,200000000,200000000
CustodianAccount1A,DE0001119584,200000000,200000000
CustodianAccount1A,JP1023481F17,40,40
CustodianAccount1A,JP1023561F93,40,40
CustodianAccount1A,JP1023621G33,40,40
CustodianAccount1A,JP1051041C55,40,40
CustodianAccount1A,JP1051161DC4,40,40
CustodianAccount1A,JP1051271G37,40,40
CustodianAccount1A,JP1103121AC2,40,40
CustodianAccount1A,IT0005160111,2000,2000
CustodianAccount1A,IT0004164775,2000,2000
CustodianAccount1A,IT0004957574,2000,2000
CustodianAccount1A,IT0003644769,2000,2000
CustodianAccount1A,IT0004953417,2000,2000
CustodianAccount1A,IT0001444378,2000,2000
CustodianAccount1B,SG6TI7000001,2000,2000
CustodianAccount1B,SG7U33949433,2000,2000
CustodianAccount1B,SG7S29941612,2000,2000
CustodianAccount1B,SG7Y76964295,2000,2000
CustodianAccount1B,SG3260987684,2000,2000
CustodianAccount1B,HK0000277696,4,4
CustodianAccount1B,HK0000288131,4,4
CustodianAccount1B,HK4159036564,40,40
CustodianAccount1B,HK0000132073,40,40
CustodianAccount1B,HK0000191137,40,40
CustodianAccount1B,AU2CLT260861,400,400
CustodianAccount1B,XS1045278410,2000,2000
CustodianAccount1B,XS1378790262,2000,2000
CustodianAccount1B,XS1122061242,200,200
CustodianAccount1B,GB00B1VWPC84,200000000,200000000
CustodianAccount1B,GB00B4YRFP41,200000000,200000000
CustodianAccount1B,FR0012634558,2000000,2000000
CustodianAccount1B,FR0013101466,2000000,2000000
CustodianAccount1B,FR0120746609,2000000,2000000
CustodianAccount1B,FR0000570905,8000000,8000000
CustodianAccount1B,FR0000570947,8000000,8000000
CustodianAccount1B,US50064FAJ30,2000,2000
CustodianAccount1B,XS0277265269,2000,2000
CustodianAccount1B,KR103501G4C0,200,200
CustodianAccount1B,KR103501G5C7,200,200
CustodianAccount1B,KR1035027062,200,200
CustodianAccount1C,US38141G1040,2000,2000
CustodianAccount1C,US46625H1005,2000,2000
CustodianAccount1C,US3696041033,2000,2000
CustodianAccount1C,US26613Q1067,2000,2000
CustodianAccount1C,US30231G1022,2000,2000
CustodianAccount1C,US4592001014,2000,2000
CustodianAccount1C,US5801351017,2000,2000
CustodianAccount1C,US1912161007,2000,2000
CustodianAccount1C,US0970231058,2000,2000
CustodianAccount1C,US88579Y1010,2000,2000
CustodianAccount1C,US7427181091,2000,2000
CustodianAccount1C,GB00B03MLX29,2000,2000
CustodianAccount1C,GB0002374006,2000,2000
CustodianAccount1C,GB0002875804,2000,2000
CustodianAccount1C,GB0000031285,2000,2000
CustodianAccount1C,GB0009252882,2000,2000
CustodianAccount1C,GB00BYXK6398,2000,2000
CustodianAccount1C,SG1V61937297,2000,2000
CustodianAccount1C,SG1W45939194,2000,2000
CustodianAccount1C,SG1L01001701,2000,2000
CustodianAccount1D,SGD,16000000,16000000
CustodianAccount1D,JPY,16000000,16000000
CustodianAccount1D,USD,16000000,16000000
CustodianAccount1D,GBP,16000000,16000000
CustodianAccount1D,EUR,16000000,16000000
CustodianAccount1E,CNY,16000000,16000000
CustodianAccount1E,AUD,16000000,16000000
CustodianAccount1E,HKD,16000000,16000000
CustodianAccount1E,CAD,16000000,16000000
