Results,status,movements,running time,mc2,mc9,mc10,mc11,mc14,mc15,mc17,mc19,mc20
Description,,,,1500000,1000000,1000000,1000000,1000000,950000,1150000,500000,500000
Default,-,-,,,,,,,,,,
1,1,11,>= 1,"AUD|CAD
950|1499050
1500000","AUD|CAD
950|8929521.43
8930471.43","CAD
1e+06
1e+06","GBP
1e+06
1e+06","GBP
1e+06
1e+06","US912796JE09
950000
950000","GBP
1150000
1150000","FR0000570905
5e+05
5e+05","GBP
5e+05
5e+05"
2,1,11,>= 2.01,"AUD|CAD
950|1499050
1500000","AUD|CAD
950|8929521.43
8930471.43","CAD
1e+06
1e+06","GBP
1e+06
1e+06","GBP
1e+06
1e+06","US912796JE09
950000
950000","GBP
1150000
1150000","FR0000570905
5e+05
5e+05","GBP
5e+05
5e+05"
3,1,11,>= 3.02,"AUD|CAD
950|1499050
1500000","AUD|CAD
950|8929521.43
8930471.43","CAD
1e+06
1e+06","GBP
1e+06
1e+06","GBP
1e+06
1e+06","US912796JE09
950000
950000","GBP
1150000
1150000","FR0000570905
5e+05
5e+05","GBP
5e+05
5e+05"
4,1,11,>= 4,"AUD|CAD
950|1499050
1500000","AUD|CAD
950|8929521.43
8930471.43","CAD
1e+06
1e+06","GBP
1e+06
1e+06","GBP
1e+06
1e+06","US912796JE09
950000
950000","GBP
1150000
1150000","FR0000570905
5e+05
5e+05","GBP
5e+05
5e+05"
5,1,11,>= 5,"AUD|CAD
950|1499050
1500000","AUD|CAD
950|8929521.43
8930471.43","CAD
1e+06
1e+06","GBP
1e+06
1e+06","GBP
1e+06
1e+06","US912796JE09
950000
950000","GBP
1150000
1150000","FR0000570905
5e+05
5e+05","GBP
5e+05
5e+05"
6,1,11,>= 6.02,"AUD|CAD
950|1499050
1500000","AUD|CAD
950|8929521.43
8930471.43","CAD
1e+06
1e+06","GBP
1e+06
1e+06","GBP
1e+06
1e+06","US912796JE09
950000
950000","GBP
1150000
1150000","FR0000570905
5e+05
5e+05","GBP
5e+05
5e+05"
7,1,11,>= 7.02,"AUD|CAD
950|1499050
1500000","AUD|CAD
950|8929521.43
8930471.43","CAD
1e+06
1e+06","GBP
1e+06
1e+06","GBP
1e+06
1e+06","US912796JE09
950000
950000","GBP
1150000
1150000","FR0000570905
5e+05
5e+05","GBP
5e+05
5e+05"
8,1,11,>= 8.01,"AUD|CAD
950|1499050
1500000","AUD|CAD
950|8929521.43
8930471.43","CAD
1e+06
1e+06","GBP
1e+06
1e+06","GBP
1e+06
1e+06","US912796JE09
950000
950000","GBP
1150000
1150000","FR0000570905
5e+05
5e+05","GBP
5e+05
5e+05"
