Prameters,presolve,timeout,bb.depthlimit,bb.floorfirst,bb.rule,break.at.first,break.at.value,epsb,epsd,improve,infinite,maxpivot,mip.gap,negrange,obj.in.basis,pivoting,anti.degen,scalelimit,scaling,simplextype,basis.crash,verbose
Description,,,,,,,,,,,,,,,,,,,,,,
Default,none,0,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",none,neutral
1,rows,5,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",none,neutral
2,lindep,5,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",none,neutral
3,sos,5,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",none,neutral
4,knapsack,5,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",none,neutral
5,elimeq2,5,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",none,neutral
6,reducedgcd,5,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",none,neutral
7,probefix,5,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",none,neutral
8,probereduce,5,-50,automatic,"pseudononint,greedy,dynamic,rcostfixing",FALSE,-1.00E+30,1.00E-10,1.00E-09,"dualfeas,thetagap",1.00E+30,250,1.00E-11,1.00E-06,TRUE,"devex,adaptive",none,5,"geometric,equilibrate,integers","dual,primal",none,neutral
